"Source Name"	"Characteristics[Subject ID]"	"Characteristics[Strain]"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Sex]"	"Factor Value[Age]"	"Characteristics[AgeUnit]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organ]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Tissue]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Cell]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Assay Type]"	"Characteristics[Biological Replicate]"	"Characteristics[Technical Replicate]"	"Factor Value[Compound]"	"Term Source REF"	"Term Accession Number"	"Characteristics[StdInChIKey]"	"Comment [ChEMBL ID]"	"Characteristics[Eniantiomer]"	"Characteristics[Compound Class]"	"Characteristics[Control]"	"Characteristics[Sample Match]"	"Factor Value[Dose]"	"Characteristics[DoseUnit]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Dose Duration]"	"Characteristics[Dose DurationUnit]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Dose Frequency]"	"Characteristics[Vehicle]"	"Characteristics[Route]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sample TimePoint]"	"Characteristics[Sample TimePointUnit]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Treatment Group]"	"Protocol REF"	"Sample Name"
"LUM-3-BR200.BEF 250-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"benzofuran"	"CHEBI"	"CHEBI:36790"	"IANQTJSKSUMEQM-UHFFFAOYSA-N"	"CHEMBL363614"	""	"Non-genotoxic"	"FALSE"	"LUM-3-BR200.DMSO-72h-R-1-1"	"250"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR200.BEF 250-72h-R-1-1"
"LUM-3-BR200.BEF 500-24h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"benzofuran"	"CHEBI"	"CHEBI:36790"	"IANQTJSKSUMEQM-UHFFFAOYSA-N"	"CHEMBL363614"	""	"Non-genotoxic"	"FALSE"	"LUM-3-BR200.DMSO-24h-R-1-1"	"500"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR200.BEF 500-24h-R-1-1"
"LUM-3-BR200.BEF 500-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"benzofuran"	"CHEBI"	"CHEBI:36790"	"IANQTJSKSUMEQM-UHFFFAOYSA-N"	"CHEMBL363614"	""	"Non-genotoxic"	"FALSE"	"LUM-3-BR200.DMSO-72h-R-1-1"	"500"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR200.BEF 500-72h-R-1-1"
"LUM-3-BR200.CAD 12.5-24h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"cadmium dichloride"	"CHEBI"	"CHEBI:35456"	"YKYOUMDCQGMQQO-UHFFFAOYSA-L"	"CHEMBL1458880"	""	"Non-genotoxic"	"FALSE"	"LUM-3-BR200.Water-24h-R-1-1"	"12.5"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR200.CAD 12.5-24h-R-1-1"
"LUM-3-BR200.CAD 12.5-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"cadmium dichloride"	"CHEBI"	"CHEBI:35456"	"YKYOUMDCQGMQQO-UHFFFAOYSA-L"	"CHEMBL1458880"	""	"Non-genotoxic"	"FALSE"	"LUM-3-BR200.Water-72h-R-1-1"	"12.5"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR200.CAD 12.5-72h-R-1-1"
"LUM-3-BR200.CYC 10000-24h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"cyclophosphamide hydrate"	"CHEBI"	"CHEBI:4026"	"PWOQRKCAHTVFLB-UHFFFAOYSA-N"	"CHEMBL1200796"	""	"Genotoxic"	"FALSE"	"LUM-3-BR200.DMSO-24h-R-1-1"	"10000"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR200.CYC 10000-24h-R-1-1"
"LUM-3-BR200.CYC 10000-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"cyclophosphamide hydrate"	"CHEBI"	"CHEBI:4026"	"PWOQRKCAHTVFLB-UHFFFAOYSA-N"	"CHEMBL1200796"	""	"Genotoxic"	"FALSE"	"LUM-3-BR200.DMSO-72h-R-1-1"	"10000"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR200.CYC 10000-72h-R-1-1"
"LUM-3-BR200.CYC 5000-24h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"cyclophosphamide hydrate"	"CHEBI"	"CHEBI:4026"	"PWOQRKCAHTVFLB-UHFFFAOYSA-N"	"CHEMBL1200796"	""	"Genotoxic"	"FALSE"	"LUM-3-BR200.DMSO-24h-R-1-1"	"5000"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR200.CYC 5000-24h-R-1-1"
"LUM-3-BR200.CYC 5000-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"cyclophosphamide hydrate"	"CHEBI"	"CHEBI:4026"	"PWOQRKCAHTVFLB-UHFFFAOYSA-N"	"CHEMBL1200796"	""	"Genotoxic"	"FALSE"	"LUM-3-BR200.DMSO-72h-R-1-1"	"5000"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR200.CYC 5000-72h-R-1-1"
"LUM-3-BR200.DMSO-24h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"dimethyl sulfoxide"	"CHEBI"	"CHEBI:28262"	"IAZDPXIOMUYVGZ-UHFFFAOYSA-N"	"CHEMBL504"	""	"DMSO"	"TRUE"	""	"0.0050"	"percent"	"UO"	"UO:0000187"	"24"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR200.DMSO-24h-R-1-1"
"LUM-3-BR200.DMSO-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"dimethyl sulfoxide"	"CHEBI"	"CHEBI:28262"	"IAZDPXIOMUYVGZ-UHFFFAOYSA-N"	"CHEMBL504"	""	"DMSO"	"TRUE"	""	"0.0050"	"percent"	"UO"	"UO:0000187"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR200.DMSO-72h-R-1-1"
"LUM-3-BR200.NMO 2500-24h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"N-nitrosomorpholine"	""	""	"ZKXDGKXYMTYWTB-UHFFFAOYSA-N"	"CHEMBL165908"	""	"Genotoxic"	"FALSE"	"LUM-3-BR200.DMSO-24h-R-1-1"	"2500"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR200.NMO 2500-24h-R-1-1"
"LUM-3-BR200.NMO 2500-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"N-nitrosomorpholine"	""	""	"ZKXDGKXYMTYWTB-UHFFFAOYSA-N"	"CHEMBL165908"	""	"Genotoxic"	"FALSE"	"LUM-3-BR200.DMSO-72h-R-1-1"	"2500"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR200.NMO 2500-72h-R-1-1"
"LUM-3-BR200.NMO 5000-24h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"N-nitrosomorpholine"	""	""	"ZKXDGKXYMTYWTB-UHFFFAOYSA-N"	"CHEMBL165908"	""	"Genotoxic"	"FALSE"	"LUM-3-BR200.DMSO-24h-R-1-1"	"5000"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR200.NMO 5000-24h-R-1-1"
"LUM-3-BR200.NMO 5000-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"N-nitrosomorpholine"	""	""	"ZKXDGKXYMTYWTB-UHFFFAOYSA-N"	"CHEMBL165908"	""	"Genotoxic"	"FALSE"	"LUM-3-BR200.DMSO-72h-R-1-1"	"5000"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR200.NMO 5000-72h-R-1-1"
"LUM-3-BR200.RES 1000-24h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"resorcinol"	"CHEBI"	"CHEBI:27810"	"GHMLBKRAJCXXBS-UHFFFAOYSA-N"	"CHEMBL24147"	""	"Non-carcinogen"	"FALSE"	"LUM-3-BR200.Water-24h-R-1-1"	"1000"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR200.RES 1000-24h-R-1-1"
"LUM-3-BR200.RES 1000-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"resorcinol"	"CHEBI"	"CHEBI:27810"	"GHMLBKRAJCXXBS-UHFFFAOYSA-N"	"CHEMBL24147"	""	"Non-carcinogen"	"FALSE"	"LUM-3-BR200.Water-72h-R-1-1"	"1000"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR200.RES 1000-72h-R-1-1"
"LUM-3-BR200.RES 500-24h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"resorcinol"	"CHEBI"	"CHEBI:27810"	"GHMLBKRAJCXXBS-UHFFFAOYSA-N"	"CHEMBL24147"	""	"Non-carcinogen"	"FALSE"	"LUM-3-BR200.Water-24h-R-1-1"	"500"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR200.RES 500-24h-R-1-1"
"LUM-3-BR200.RES 500-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"resorcinol"	"CHEBI"	"CHEBI:27810"	"GHMLBKRAJCXXBS-UHFFFAOYSA-N"	"CHEMBL24147"	""	"Non-carcinogen"	"FALSE"	"LUM-3-BR200.Water-72h-R-1-1"	"500"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR200.RES 500-72h-R-1-1"
"LUM-3-BR200.SDI 5-24h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"sodium dichromate"	"CHEBI"	"CHEBI:39483"	"KIEOKOFEPABQKJ-UHFFFAOYSA-N"	""	""	"Genotoxic"	"FALSE"	"LUM-3-BR200.Water-24h-R-1-1"	"5"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR200.SDI 5-24h-R-1-1"
"LUM-3-BR200.SDI 5-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"sodium dichromate"	"CHEBI"	"CHEBI:39483"	"KIEOKOFEPABQKJ-UHFFFAOYSA-N"	""	""	"Genotoxic"	"FALSE"	"LUM-3-BR200.Water-72h-R-1-1"	"5"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR200.SDI 5-72h-R-1-1"
"LUM-3-BR200.STY 3000-24h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"styrene"	"CHEBI"	"CHEBI:27452"	"PPBRXRYQALVLMV-UHFFFAOYSA-N"	"CHEMBL285235"	""	"Non-genotoxic"	"FALSE"	"LUM-3-BR200.DMSO-24h-R-1-1"	"3000"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR200.STY 3000-24h-R-1-1"
"LUM-3-BR200.STY 3000-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"styrene"	"CHEBI"	"CHEBI:27452"	"PPBRXRYQALVLMV-UHFFFAOYSA-N"	"CHEMBL285235"	""	"Non-genotoxic"	"FALSE"	"LUM-3-BR200.DMSO-72h-R-1-1"	"3000"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR200.STY 3000-72h-R-1-1"
"LUM-3-BR200.STY 6000-24h-R-1-1_2"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"styrene"	"CHEBI"	"CHEBI:27452"	"PPBRXRYQALVLMV-UHFFFAOYSA-N"	"CHEMBL285235"	""	"Non-genotoxic"	"FALSE"	"LUM-3-BR200.DMSO-24h-R-1-1"	"6000"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR200.STY 6000-24h-R-1-1_2"
"LUM-3-BR200.STY 6000-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"styrene"	"CHEBI"	"CHEBI:27452"	"PPBRXRYQALVLMV-UHFFFAOYSA-N"	"CHEMBL285235"	""	"Non-genotoxic"	"FALSE"	"LUM-3-BR200.DMSO-72h-R-1-1"	"6000"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR200.STY 6000-72h-R-1-1"
"LUM-3-BR200.URE 10000-24h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"urea"	"CHEBI"	"CHEBI:16199"	"XSQUKJJJFZCRTK-UHFFFAOYSA-N"	"CHEMBL985"	""	"Non-carcinogen"	"FALSE"	"LUM-3-BR200.Water-24h-R-1-1"	"10000"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR200.URE 10000-24h-R-1-1"
"LUM-3-BR200.URE 10000-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"urea"	"CHEBI"	"CHEBI:16199"	"XSQUKJJJFZCRTK-UHFFFAOYSA-N"	"CHEMBL985"	""	"Non-carcinogen"	"FALSE"	"LUM-3-BR200.Water-72h-R-1-1"	"10000"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR200.URE 10000-72h-R-1-1"
"LUM-3-BR200.URE 5000-24h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"urea"	"CHEBI"	"CHEBI:16199"	"XSQUKJJJFZCRTK-UHFFFAOYSA-N"	"CHEMBL985"	""	"Non-carcinogen"	"FALSE"	"LUM-3-BR200.Water-24h-R-1-1"	"5000"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR200.URE 5000-24h-R-1-1"
"LUM-3-BR200.URE 5000-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"urea"	"CHEBI"	"CHEBI:16199"	"XSQUKJJJFZCRTK-UHFFFAOYSA-N"	"CHEMBL985"	""	"Non-carcinogen"	"FALSE"	"LUM-3-BR200.Water-72h-R-1-1"	"5000"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR200.URE 5000-72h-R-1-1"
"LUM-3-BR200.Water-24h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"untreated"	""	""	""	""	""	"CTRL"	"TRUE"	""	""	""	""	""	"24"	"hour"	"UO"	"UO:0000032"	""	"None"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR200.Water-24h-R-1-1"
"LUM-3-BR200.Water-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"untreated"	""	""	""	""	""	"CTRL"	"TRUE"	""	""	""	""	""	"72"	"hour"	"UO"	"UO:0000032"	""	"None"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR200.Water-72h-R-1-1"
"LUM-3-BR234-0h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"untreated"	""	""	""	""	""	"CTRL"	"TRUE"	""	""	""	""	""	"0"	"hour"	"UO"	"UO:0000032"	""	"None"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR234-0h-R-1-1"
"LUM-3-BR234-0h-R-2-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"2"	"1"	"untreated"	""	""	""	""	""	"CTRL"	"TRUE"	""	""	""	""	""	"0"	"hour"	"UO"	"UO:0000032"	""	"None"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR234-0h-R-2-1"
"LUM-3-BR234.BEC 100-24h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"beclomethasone dipropionate"	"CHEBI"	"CHEBI:3002"	"KUVIULQEHSCUHY-XYWKZLDCSA-N"	"CHEMBL1200500"	""	"Non-carcinogen"	"FALSE"	"LUM-3-BR234.DMSO-24h-R-1-1"	"100"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR234.BEC 100-24h-R-1-1"
"LUM-3-BR234.BEC 100-72h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"beclomethasone dipropionate"	"CHEBI"	"CHEBI:3002"	"KUVIULQEHSCUHY-XYWKZLDCSA-N"	"CHEMBL1200500"	""	"Non-carcinogen"	"FALSE"	"LUM-3-BR234.DMSO-72h-R-1-1"	"100"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR234.BEC 100-72h-R-1-1"
"LUM-3-BR234.BEF 250-24h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"benzofuran"	"CHEBI"	"CHEBI:36790"	"IANQTJSKSUMEQM-UHFFFAOYSA-N"	"CHEMBL363614"	""	"Non-genotoxic"	"FALSE"	"LUM-3-BR234.DMSO-24h-R-1-1"	"250"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR234.BEF 250-24h-R-1-1"
"LUM-3-BR234.BEF 250-72h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"benzofuran"	"CHEBI"	"CHEBI:36790"	"IANQTJSKSUMEQM-UHFFFAOYSA-N"	"CHEMBL363614"	""	"Non-genotoxic"	"FALSE"	"LUM-3-BR234.DMSO-72h-R-1-1"	"250"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR234.BEF 250-72h-R-1-1"
"LUM-3-BR234.BEF 500-24h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"benzofuran"	"CHEBI"	"CHEBI:36790"	"IANQTJSKSUMEQM-UHFFFAOYSA-N"	"CHEMBL363614"	""	"Non-genotoxic"	"FALSE"	"LUM-3-BR234.DMSO-24h-R-1-1"	"500"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR234.BEF 500-24h-R-1-1"
"LUM-3-BR234.BEF 500-72h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"benzofuran"	"CHEBI"	"CHEBI:36790"	"IANQTJSKSUMEQM-UHFFFAOYSA-N"	"CHEMBL363614"	""	"Non-genotoxic"	"FALSE"	"LUM-3-BR234.DMSO-72h-R-1-1"	"500"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR234.BEF 500-72h-R-1-1"
"LUM-3-BR234.CAD 12.5-24h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"cadmium dichloride"	"CHEBI"	"CHEBI:35456"	"YKYOUMDCQGMQQO-UHFFFAOYSA-L"	"CHEMBL1458880"	""	"Non-genotoxic"	"FALSE"	"LUM-3-BR234.Water-24h-R-1-1"	"12.5"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-3-BR234.CAD 12.5-24h-R-1-1"
